#Drug	Gene	DrugBankID	SMILES
DB00357	P05108	DB00357	CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
DB02721	P00325	DB02721	NaN
DB00773	P23219	DB00773	[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
DB07138	Q16539	DB07138	NaN
DB08136	P24941	DB08136	CC(=O)NC1=CNN=C1C(=O)NC1=CC=C(F)C=C1
DB01242	P23975	DB01242	NaN
DB01238	P08173	DB01238	ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
DB00186	P48169	DB00186	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00338	P10635	DB00338	COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C
DB01151	P08913	DB01151	NaN
DB01244	P05023	DB01244	NaN
DB01745	P07477	DB01745	COC(=O)C1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1
DB01996	P08254	DB01996	NaN
DB04800	P18031	DB04800	CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1
DB08352	Q16539	DB08352	CC(C)NC1=NC2=C(S1)C=C(C=C2)C1=C(N=CO1)C1=CC=CC=C1F
DB00133	P21549	DB00133	N[C@@H](CO)C(O)=O
DB00163	P21266	DB00163	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00197	P10632	DB00197	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB06777	P08684	DB06777	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
DB01151	P10635	DB01151	NaN
DB00356	P08684	DB00356	ClC1=CC2=C(OC(=O)N2)C=C1
DB01589	P34903	DB01589	FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
DB01272	P20645	DB01272	NaN
DB08846	Q14534	DB08846	OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
DB01151	P33261	DB01151	NaN
DB01076	P04035	DB01076	CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CCC(O)CC(O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
DB00605	Q03181	DB00605	CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
DB08515	P49721	DB08515	[H][C@](O)([C@@]1([H])CCCC=C1)[C@]1(NC(=O)[C@]2([H])CCO[C@]12C)C=O
DB02401	P07195	DB02401	OC(=O)C1=NON=C1O
DB01057	P06276	DB01057	NaN
DB03286	P11217	DB03286	N[C@@H](O)[C@@]1(O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)N=[N+]=[N-]
DB08814	Q9Y233	DB08814	NaN
DB00945	P23219	DB00945	CC(=O)OC1=CC=CC=C1C(O)=O
DB01809	P07949	DB01809	CC1=CC=C(C=C1)C1=NN(C2=C1C(N)=NC=N2)C(C)(C)C
DB01352	Q16445	DB01352	NaN
DB00185	P10635	DB00185	NaN
DB01708	Q14957	DB01708	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C
DB04058	P15085	DB04058	[H][C@@](CC1=CC=CC=C1)(NC(N)=O)C(O)=O
DB00570	Q9UJT1	DB00570	[H][C@@]12N(C)C3=C(C=C(C(OC)=C3)[C@]3(C[C@@H]4CN(C[C@](O)(CC)C4)CCC4=C3NC3=CC=CC=C43)C(=O)OC)[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H]
DB02805	P07998	DB02805	OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O
DB01355	P43681	DB01355	NaN
DB00834	P24462	DB00834	[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]
DB00734	P08913	DB00734	NaN
DB01708	Q9UN88	DB01708	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C
DB03981	Q9Y663	DB03981	O[C@@H]1C=C(OC[C@H]1OS(O)(=O)=O)C(O)=O
DB07124	P17612	DB07124	[H][C@@](N)(COC1=CN=CC(=C1)C1=NCC2=NN=CC2=C1)CC1=C2C=CCC=C2N=C1
DB08137	P24941	DB08137	FC1=CC=C(NC(=O)C2=NNC=C2NC(=O)C2=CC=CC=C2)C=C1
DB00143	P10768	DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00102	P16234	DB00102	NaN
DB00188	P28070	DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00533	P23219	DB00533	CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1
DB01520	Q13224	DB01520	NaN
DB08355	P24941	DB08355	CN1N=C(C(O)=O)C2=C1C1=NC(NC3=CC=CC=C3)=NC=C1CC2
DB01252	P37231	DB01252	OC(=O)C(CC(=O)N1CC2CCCCC2C1)CC1=CC=CC=C1
DB01215	P18507	DB01215	ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
DB01221	P41145	DB01221	CNC1(CCCCC1=O)C1=CC=CC=C1Cl
DB00922	Q14432	DB00922	C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1
DB00586	P04798	DB00586	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
DB00243	P08684	DB00243	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00054	P12318	DB00054	NaN
DB00051	P31994	DB00051	NaN
DB05238	P15056	DB05238	NaN
DB04335	P00491	DB04335	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
DB05030	P35968	DB05030	NaN
DB00231	P18507	DB00231	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00162	P00352	DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00988	P33261	DB00988	NCCC1=CC(O)=C(O)C=C1
DB00373	P08588	DB00373	CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1
DB01223	P05177	DB01223	NaN
DB00255	P11712	DB00255	CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB01247	P21397	DB01247	CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1
DB00564	P10632	DB00564	NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
DB04551	P30613	DB04551	O[C@@H]1[C@@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
DB02056	P42330	DB02056	[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O
DB08424	Q16539	DB08424	[H][C@](O)(CO)COC1=CC(=CC=C1)C(=O)C1=C(N)N(N=C1)C1=CC=C(F)C=C1
DB05387	P08253	DB05387	NaN
DB03865	P05981	DB03865	NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC(=C2O)C2=CC=CC=C2)C=C1Cl
DB04405	P39900	DB04405	CCOC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C[C@@H](CCN1C(=O)C2=CC=CC=C2C1=O)C(O)=O
DB04322	P11586	DB04322	NC1=NC(O)=C2C[C@@H](CCC3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=N1
DB01357	P03372	DB01357	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3
DB01698	P10632	DB01698	C[C@@H]1O[C@H](OC[C@@H]2O[C@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C(O)=C3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
DB07616	O60760	DB07616	CC1=CC(=CC=C1F)C1=CSC(NC2=CC=C(C(O)=O)C(O)=C2)=N1
DB01011	P11509	DB01011	NaN
DB00005	P08637	DB00005	NaN
DB01074	P10635	DB01074	NaN
DB00475	P48169	DB00475	CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1
DB00939	O43526	DB00939	CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1
DB00518	P04798	DB00518	CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
DB01587	O14764	DB01587	CN1C2=C(C=C(Cl)C=C2)C2(OC(C)=CC(=O)N2CC1=O)C1=CC=CC=C1
DB00201	Q07343	DB00201	NaN
DB04444	P30085	DB04444	NaN
DB03501	P15291	DB03501	OC[C@@H]1O[C@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O
DB09068	P20815	DB09068	NaN
DB03103	P15531	DB03103	CC1=CN([C@H]2C[C@@H](O)[C@H](CO[P@](O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
DB00753	P62158	DB00753	NaN
DB01381	P14867	DB01381	NaN
DB01820	P18031	DB01820	CCCCCNC(=O)[C@@H](CC1=CC=C(N(C(=O)C(O)=O)C2=CC=CC=C2C(O)=O)C2=C1C=CC=C2)NC(C)=O
DB03461	Q16698	DB03461	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O
DB00836	P62158	DB00836	CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB08914	P06213	DB08914	NaN
DB00116	P13995	DB00116	NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
DB00139	Q8WWT9	DB00139	NaN
DB00114	Q6P996	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00139	O14521	DB00139	NaN
DB01167	P20815	DB01167	NaN
DB07034	O14757	DB07034	ON=C1C2=CC(OCC(O)=O)=CC=C2C2=C1C=C(OCC(O)=O)C=C2
DB04389	P49789	DB04389	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)C[P@](O)(=O)O[P@](S)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O
DB00328	Q9Y5Y4	DB00328	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
DB00201	Q08493	DB00201	NaN
DB00515	P02795	DB00515	NaN
DB05079	P35367	DB05079	NaN
DB08095	Q16539	DB08095	[H][C@@](C)(NC1=NC=CC(=N1)N(C(=O)NC1=CC=CC=C1Cl)C1=CC=C(OC)C=C1)C(C)(C)O
DB00993	P00492	DB00993	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
DB05157	Q15759	DB05157	NaN
